"col","row","block","trt","yield"
1,1,"4","t36",9.85
2,1,"4","t87",3
3,1,"4","t72",6.28
4,1,"4","t82",7.24
5,1,"4","t75",6.43
6,1,"3","t51",4.62
7,1,"3","t74",10.34
8,1,"3","t80",4.67
9,1,"3","t62",12.14
10,1,"3","t77",4.78
11,1,"1","t47",9.61
12,1,"1","t59",13.08
13,1,"1","t16",-0.91
14,1,"1","t34",4.01
15,1,"1","t89",4.53
16,1,"2","t77",7.25
17,1,"2","t45",4
18,1,"2","t81",-4.39
19,1,"2","t87",-3.63
20,1,"2","t59",9.67
1,2,"4","t24",3.92
2,2,"4","t18",-1.3
3,2,"4","t35",4.39
4,2,"4","t54",9.29
5,2,"4","t55",11.7
6,2,"3","t27",3.48
7,2,"3","t54",4.09
8,2,"3","t46",-1.23
9,2,"3","t67",6.63
10,2,"3","t35",2.74
11,2,"1","t52",6.61
12,2,"1","t51",7.49
13,2,"1","t63",8.66
14,2,"1","t65",2.85
15,2,"1","t12",3.79
16,2,"2","t57",-1.07
17,2,"2","t56",2.23
18,2,"2","t69",1.99
19,2,"2","t89",-3.54
20,2,"2","t50",5.13
1,3,"4","t31",5.73
2,3,"4","t47",3.72
3,3,"4","t14",6.68
4,3,"4","t43",2.43
5,3,"4","t13",-2.34
6,3,"3","t22",6.53
7,3,"3","t81",2.13
8,3,"3","t36",10.11
9,3,"3","t56",3.47
10,3,"3","t61",7.32
11,3,"1","t26",6.14
12,3,"1","t33",2.23
13,3,"1","t18",10.57
14,3,"1","t23",7.27
15,3,"1","t39",5.32
16,3,"2","t41",5.98
17,3,"2","t48",7.4
18,3,"2","t42",5.32
19,3,"2","t33",-5.58
20,3,"2","t35",6.01
1,4,"4","t68",3.7
2,4,"4","t90",5.65
3,4,"4","t38",7.06
4,4,"4","t88",9.95
5,4,"4","t32",2.43
6,4,"3","t89",9.61
7,4,"3","t83",6.19
8,4,"3","t48",8.67
9,4,"3","t82",8.26
10,4,"3","t18",7.55
11,4,"1","t85",1.31
12,4,"1","t31",4.68
13,4,"1","t76",7.2
14,4,"1","t68",1.63
15,4,"1","t62",3.08
16,4,"2","t20",7.05
17,4,"2","t66",7.72
18,4,"2","t90",6.64
19,4,"2","t54",1.87
20,4,"2","t21",1.11
1,5,"4","t57",10.35
2,5,"4","t66",5.91
3,5,"4","t74",5.31
4,5,"4","t53",4.57
5,5,"4","t40",0.78
6,5,"3","t84",7.16
7,5,"3","t88",4.23
8,5,"3","t44",4.35
9,5,"3","t57",8.3
10,5,"3","t59",7.91
11,5,"1","t57",9.92
12,5,"1","t55",3.32
13,5,"1","t56",7.3
14,5,"1","t29",9.92
15,5,"1","t69",1.07
16,5,"2","t36",1.96
17,5,"2","t80",1
18,5,"2","t60",-0.16
19,5,"2","t64",5.28
20,5,"2","t32",7.31
1,6,"4","t52",9.25
2,6,"4","t46",8.69
3,6,"4","t63",1.45
4,6,"4","t89",11.54
5,6,"4","t44",2.64
6,6,"3","t86",5.37
7,6,"3","t75",3.51
8,6,"3","t58",4.57
9,6,"3","t34",5.67
10,6,"3","t12",2.42
11,6,"1","t88",4.91
12,6,"1","t53",5.38
13,6,"1","t14",2.28
14,6,"1","t19",3.22
15,6,"1","t11",-3.87
16,6,"2","t11",0.65
17,6,"2","t19",3.19
18,6,"2","t22",14.55
19,6,"2","t72",0.18
20,6,"2","t76",5.49
1,7,"4","t22",-0.28
2,7,"4","t45",-0.2
3,7,"4","t11",2.44
4,7,"4","t30",1.48
5,7,"4","t65",4.99
6,7,"3","t63",3.49
7,7,"3","t11",-0.17
8,7,"3","t19",-2.16
9,7,"3","t73",0.67
10,7,"3","t50",5.63
11,7,"1","t37",7.01
12,7,"1","t48",3.26
13,7,"1","t20",5
14,7,"1","t25",8.97
15,7,"1","t74",10.09
16,7,"2","t29",1.12
17,7,"2","t83",4.59
18,7,"2","t24",9.25
19,7,"2","t79",3.34
20,7,"2","t12",1.81
1,8,"4","t60",4.7
2,8,"4","t78",1.86
3,8,"4","t80",3.43
4,8,"4","t28",4.9
5,8,"4","t42",3.54
6,8,"3","t42",8.94
7,8,"3","t53",3.3
8,8,"3","t69",3.47
9,8,"3","t87",7.46
10,8,"3","t30",1.27
11,8,"1","t22",4.86
12,8,"1","t60",-0.49
13,8,"1","t80",9.13
14,8,"1","t58",4.03
15,8,"1","t45",3.35
16,8,"2","t88",0.62
17,8,"2","t70",4.97
18,8,"2","t65",2.17
19,8,"2","t17",2.11
20,8,"2","t82",9.55
1,9,"4","t85",4.38
2,9,"4","t76",1.21
3,9,"4","t61",5.58
4,9,"4","t56",3.72
5,9,"4","t84",7.09
6,9,"3","t45",10.06
7,9,"3","t41",1.49
8,9,"3","t20",6.61
9,9,"3","t40",5.3
10,9,"3","t24",8.17
11,9,"1","t41",4.19
12,9,"1","t83",7.96
13,9,"1","t38",-1.17
14,9,"1","t15",9.97
15,9,"1","t44",8.06
16,9,"2","t85",4.47
17,9,"2","t25",-0.12
18,9,"2","t61",7.27
19,9,"2","t26",6.71
20,9,"2","t51",4.98
1,10,"4","t83",5.54
2,10,"4","t49",2.93
3,10,"4","t33",6.3
4,10,"4","t27",6.04
5,10,"4","t58",4.01
6,10,"3","t70",0.28
7,10,"3","t49",7.48
8,10,"3","t72",6.96
9,10,"3","t64",2.04
10,10,"3","t13",-3.14
11,10,"1","t36",5.72
12,10,"1","t50",3.78
13,10,"1","t77",5.89
14,10,"1","t86",0.43
15,10,"1","t82",1.61
16,10,"2","t13",6.34
17,10,"2","t46",6.43
18,10,"2","t14",6.07
19,10,"2","t47",11.42
20,10,"2","t53",5.46
1,11,"4","t69",-2.07
2,11,"4","t12",3.18
3,11,"4","t19",9.14
4,11,"4","t17",11.28
5,11,"4","t39",0.13
6,11,"3","t15",-0.07
7,11,"3","t38",2.5
8,11,"3","t60",1.27
9,11,"3","t14",1.72
10,11,"3","t47",4.34
11,11,"1","t54",0.75
12,11,"1","t49",12.2
13,11,"1","t28",5.38
14,11,"1","t66",4.7
15,11,"1","t32",6.75
16,11,"2","t38",5.13
17,11,"2","t58",4.53
18,11,"2","t44",10.22
19,11,"2","t68",4.23
20,11,"2","t74",0.46
1,12,"4","t25",6.36
2,12,"4","t37",3.76
3,12,"4","t51",3.16
4,12,"4","t20",1.22
5,12,"4","t73",6.51
6,12,"3","t66",4.38
7,12,"3","t52",6.82
8,12,"3","t55",4.17
9,12,"3","t71",2.67
10,12,"3","t76",9.42
11,12,"1","t27",4.04
12,12,"1","t71",8.35
13,12,"1","t24",0.75
14,12,"1","t81",3.35
15,12,"1","t78",4.05
16,12,"2","t23",3.62
17,12,"2","t31",9.77
18,12,"2","t63",4.92
19,12,"2","t71",5.86
20,12,"2","t73",1.67
1,13,"4","t71",2.42
2,13,"4","t41",8.53
3,13,"4","t81",9.45
4,13,"4","t48",9.42
5,13,"4","t77",0.12
6,13,"3","t37",12.25
7,13,"3","t25",8.6
8,13,"3","t78",4.91
9,13,"3","t17",6.49
10,13,"3","t32",1.57
11,13,"1","t72",1.12
12,13,"1","t21",5.17
13,13,"1","t84",0.76
14,13,"1","t13",3.17
15,13,"1","t75",9.59
16,13,"2","t84",1.34
17,13,"2","t39",2.39
18,13,"2","t27",5.16
19,13,"2","t28",1.4
20,13,"2","t37",3.64
1,14,"4","t15",7.09
2,14,"4","t26",8.43
3,14,"4","t59",6.36
4,14,"4","t67",-1.55
5,14,"4","t79",4.81
6,14,"3","t31",8.76
7,14,"3","t28",7.88
8,14,"3","t79",4.33
9,14,"3","t26",-4.55
10,14,"3","t29",5.22
11,14,"1","t42",7.03
12,14,"1","t70",5.16
13,14,"1","t46",5.56
14,14,"1","t87",6.53
15,14,"1","t35",3.6
16,14,"2","t40",9.63
17,14,"2","t86",6.66
18,14,"2","t78",0.61
19,14,"2","t52",9.88
20,14,"2","t43",9.26
1,15,"4","t16",6.91
2,15,"4","t64",-0.88
3,15,"4","t29",2.99
4,15,"4","t34",7.25
5,15,"4","t62",5.15
6,15,"3","t43",6.23
7,15,"3","t68",13.7
8,15,"3","t21",2.11
9,15,"3","t39",-2.47
10,15,"3","t65",5.97
11,15,"1","t67",2.57
12,15,"1","t30",6.58
13,15,"1","t43",2.13
14,15,"1","t90",12.82
15,15,"1","t40",4.56
16,15,"2","t55",3.31
17,15,"2","t62",4.41
18,15,"2","t67",8.05
19,15,"2","t75",5.34
20,15,"2","t15",-1.75
1,16,"4","t21",4.98
2,16,"4","t23",7.69
3,16,"4","t70",5.14
4,16,"4","t50",7.6
5,16,"4","t86",4.48
6,16,"3","t23",4.8
7,16,"3","t33",6.71
8,16,"3","t90",8.51
9,16,"3","t85",0.59
10,16,"3","t16",3.88
11,16,"1","t79",4.75
12,16,"1","t61",2.32
13,16,"1","t64",1.34
14,16,"1","t17",1.77
15,16,"1","t73",7.07
16,16,"2","t34",3.53
17,16,"2","t49",2.23
18,16,"2","t16",4.58
19,16,"2","t30",0.63
20,16,"2","t18",8.7
